stop_name,date_collection_datetime,lbs_collected,compost_created_lbs
Mills Park,7/2/2025,427,43
Mills Park,12/2/2025,289.6,29
Mills Park,17/2/2025,671.8,67
Citizen's Convenience Center,9/2/2022,59,6
Citizen's Convenience Center,14/2/2022,329.4,33
Citizen's Convenience Center,16/2/2022,102.8,10
Citizen's Convenience Center,7/3/2022,531.2,53
Citizen's Convenience Center,9/3/2022,352.8,35
Citizen's Convenience Center,11/3/2022,309.4,31
Citizen's Convenience Center,21/3/2022,601.2,60
Citizen's Convenience Center,23/3/2022,481.8,48
Citizen's Convenience Center,30/3/2022,610.8,61
Citizen's Convenience Center,6/4/2022,280.8,28
Citizen's Convenience Center,8/4/2022,327,33
Citizen's Convenience Center,11/4/2022,429.2,43
Citizen's Convenience Center,20/4/2022,381.8,38
Citizen's Convenience Center,22/4/2022,392.8,39
Citizen's Convenience Center,25/4/2022,502.8,50
Citizen's Convenience Center,13/5/2022,644.8,64
Citizen's Convenience Center,23/5/2022,676.8,68
Citizen's Convenience Center,15/6/2022,479.8,48
Citizen's Convenience Center,17/6/2022,399.8,40
Citizen's Convenience Center,21/6/2022,609.8,61
Citizen's Convenience Center,18/7/2022,807.8,81
Citizen's Convenience Center,22/7/2022,597.8,60
Citizen's Convenience Center,29/7/2022,318.8,32
Citizen's Convenience Center,17/8/2022,690.8,69
Citizen's Convenience Center,26/8/2022,655.8,66
Citizen's Convenience Center,29/8/2022,631.8,63
Citizen's Convenience Center,17/10/2022,663.4,66
Citizen's Convenience Center,6/1/2023,968.6,97
Citizen's Convenience Center,23/1/2023,627.4,63
Citizen's Convenience Center,25/1/2023,573.6,57
Citizen's Convenience Center,1/2/2023,466.8,47
Citizen's Convenience Center,3/2/2023,396.8,40
Citizen's Convenience Center,13/2/2023,578.4,58
Citizen's Convenience Center,27/2/2023,754.4,75
Citizen's Convenience Center,6/3/2023,542.4,54
Citizen's Convenience Center,5/5/2023,782.4,78
Citizen's Convenience Center,8/5/2023,732,73
Citizen's Convenience Center,17/5/2023,673.6,67
Citizen's Convenience Center,22/5/2023,979.4,98
Citizen's Convenience Center,7/6/2023,720.8,72
Citizen's Convenience Center,9/6/2023,701.4,70
Citizen's Convenience Center,30/6/2023,820.6,82
Citizen's Convenience Center,4/8/2023,748.6,75
Citizen's Convenience Center,23/8/2023,600.8,60
Citizen's Convenience Center,27/10/2023,474.6,47
Citizen's Convenience Center,30/10/2023,733.4,73
Citizen's Convenience Center,22/11/2023,669.4,67
Citizen's Convenience Center,4/12/2023,1411,141
Citizen's Convenience Center,11/12/2023,908,91
Citizen's Convenience Center,18/12/2023,834.2,83
Citizen's Convenience Center,3/1/2024,430.8,43
Citizen's Convenience Center,12/1/2024,669.2,67
Citizen's Convenience Center,24/1/2024,492.6,49
Citizen's Convenience Center,26/1/2024,540.6,54
Citizen's Convenience Center,29/1/2024,1465.8,147
Mills Park,5/2/2024,171.8,17
Citizen's Convenience Center,9/2/2024,558.8,56
Mills Park,16/2/2024,294.4,29
Mills Park,26/2/2024,664.8,66
Citizen's Convenience Center,28/2/2024,1005.6,101
Citizen's Convenience Center,15/3/2024,992,99
Citizen's Convenience Center,3/4/2024,513.2,51
Mills Park,5/4/2024,651.8,65
Mills Park,10/4/2024,248.8,25
Citizen's Convenience Center,1/5/2024,655.6,66
Mills Park,1/5/2024,242.8,24
Citizen's Convenience Center,3/5/2024,543.8,54
Mills Park,3/5/2024,510.8,51
Mills Park,6/5/2024,555.8,56
Mills Park,13/5/2024,629.8,63
Citizen's Convenience Center,15/5/2024,627.8,63
Mills Park,20/5/2024,604.8,60
Citizen's Convenience Center,22/5/2024,654.4,65
Citizen's Convenience Center,28/5/2024,986.8,99
Citizen's Convenience Center,31/5/2024,869.6,87
Citizen's Convenience Center,5/6/2024,604.4,60
Citizen's Convenience Center,7/6/2024,654.4,65
Citizen's Convenience Center,10/6/2024,1044,104
Mills Park,10/6/2024,642.8,64
Citizen's Convenience Center,24/6/2024,1107.8,111
Mills Park,24/6/2024,643.8,64
Citizen's Convenience Center,8/7/2024,703.2,70
Mills Park,8/7/2024,478.8,48
Citizen's Convenience Center,10/7/2024,809.2,81
Citizen's Convenience Center,12/7/2024,171,17
Mills Park,19/7/2024,418.8,42
Citizen's Convenience Center,24/7/2024,733,73
Citizen's Convenience Center,31/7/2024,629.2,63
Citizen's Convenience Center,7/8/2024,565.6,57
Citizen's Convenience Center,9/8/2024,587.6,59
Mills Park,19/8/2024,538.8,54
Mills Park,23/8/2024,311.8,31
Mills Park,30/8/2024,249.8,25
Mills Park,23/9/2024,580.8,58
Citizen's Convenience Center,9/9/2024,1827.2,183
Citizen's Convenience Center,23/9/2024,1026,103
Citizen's Convenience Center,25/9/2024,793.2,79
Mills Park,7/10/2024,679.8,68
Mills Park,16/10/2024,340.8,34
Mills Park,28/10/2024,313.6,31
Citizen's Convenience Center,16/10/2024,505.6,51
Citizen's Convenience Center,18/10/2024,619,62
Citizen's Convenience Center,25/10/2024,717,72
Citizen's Convenience Center,6/11/2024,803,80
Citizen's Convenience Center,15/11/2024,867,87
Citizen's Convenience Center,25/11/2024,1268.8,127
Citizen's Convenience Center,6/12/2024,602.2,60
Citizen's Convenience Center,18/12/2024,584.2,58
Citizen's Convenience Center,23/12/2024,1370.8,137
Citizen's Convenience Center,24/12/2024,572.4,57
Citizen's Convenience Center,30/12/2024,1489,149
Mills Park,13/11/2024,400.8,40
Mills Park,26/11/2024,338.8,34
Mills Park,2/12/2024,848.8,85
Mills Park,13/12/2024,273.6,27
Mills Park,13/1/2025,689.8,69
Mills Park,17/1/2025,316.8,32
Mills Park,20/1/2025,521.8,52
Citizen's Convenience Center,6/1/2025,1330.8,133
Citizen's Convenience Center,20/1/2025,0,0
Citizen's Convenience Center,22/1/2025,0,0
Citizen's Convenience Center,22/2/2025,930,93
Mills Park,10/2/2025,574.8,57
Mills Park,19/2/2025,528.6,53
Mills Park,26/2/2025,501.8,50
Citizen's Convenience Center,2/2/2022,0,0
Citizen's Convenience Center,18/2/2022,202.8,20
Citizen's Convenience Center,28/2/2022,213.8,21
Citizen's Convenience Center,2/3/2022,298.8,30
Citizen's Convenience Center,14/3/2022,659.2,66
Citizen's Convenience Center,16/3/2022,481.8,48
Citizen's Convenience Center,18/3/2022,303.8,30
Citizen's Convenience Center,25/3/2022,359.8,36
Citizen's Convenience Center,28/3/2022,857.2,86
Citizen's Convenience Center,18/4/2022,330.2,33
Citizen's Convenience Center,27/4/2022,593.8,59
Citizen's Convenience Center,29/4/2022,419.8,42
Citizen's Convenience Center,1/6/2022,411.8,41
Citizen's Convenience Center,15/7/2022,426.8,43
Citizen's Convenience Center,3/8/2022,531.8,53
Citizen's Convenience Center,5/8/2022,539.8,54
Citizen's Convenience Center,10/8/2022,1065.8,107
Citizen's Convenience Center,24/8/2022,481.8,48
Citizen's Convenience Center,10/10/2022,653.4,65
Citizen's Convenience Center,12/10/2022,385.8,39
